Customer Id,Recency,Frequency,Monetary,Avg_Order_Value,Unique_Product_Categories,Avg_Discount_Rate,Total_Profit
1,793,1,499.9500122,499.9500122,,,
2,137,4,1819.73003386,454.932508465,1.0,0.06,159.6900024
3,230,5,3537.68009381,707.536018762,3.0,0.13,208.73999938100002
4,381,4,1719.63002967,429.9075074175,4.0,0.11,334.48999919000005
5,458,3,1274.75002288,424.9166742933333,4.0,0.14,-439.979991994
6,647,4,3259.51002486,814.877506215,3.0,0.14,309.85000229999997
7,221,7,5569.48010644,795.6400152057142,4.0,0.11,893.64999767
8,127,8,3763.5000419,470.4375052375,5.0,0.12,964.889985775
9,141,5,3229.68005555,645.93601111,5.0,0.09,529.930004568
10,308,2,1264.79001226,632.39500613,5.0,0.1,-383.8799985630001
11,372,4,2429.6500397600003,607.4125099400001,4.0,0.08,-151.22000884
12,256,8,6009.3501015,751.1687626875,5.0,0.12,294.920004666
13,194,4,3185.62006955,796.4050173875,5.0,0.08,899.100009885
14,159,7,2414.72003184,344.9600045485714,5.0,0.11,882.2599928559999
15,421,1,239.98000718,239.98000718,5.0,0.1,127.279997891
16,124,6,2349.77002714,391.62833785666663,2.0,0.08,69.45999717999999
17,285,5,4259.6601105,851.9320221,4.0,0.08,708.900002442
18,406,6,3519.6000672,586.6000112,6.0,0.08,541.349996582
19,465,8,4355.62007918,544.4525098975,4.0,0.07,407.05998048000004
20,292,4,1589.77005,397.4425125,5.0,0.09,802.34000206
21,296,4,2836.69007108,709.17251777,3.0,0.06,-757.6400012600001
22,388,5,2744.6800461,548.93600922,5.0,0.1,815.589997266
23,502,6,4141.38005816,690.2300096933333,5.0,0.09,823.930001297
24,685,4,2769.47002792,692.36750698,5.0,0.1,961.1000023060001
25,642,2,929.8700104,464.9350052,4.0,0.09,509.59001113700003
26,191,5,3209.80008706,641.960017412,3.0,0.18,191.809998519
27,302,4,2065.66000368,516.41500092,4.0,0.07,568.6499997100001
28,297,4,2159.76002128,539.94000532,5.0,0.1,597.099995133
29,355,2,1329.8700409,664.93502045,4.0,0.09,255.15999986
30,581,2,1105.89002425,552.945012125,3.0,0.07,-206.62000176900003
31,528,6,3774.55005634,629.0916760566666,4.0,0.12,-47.17999693599998
32,327,5,3409.51004217,681.902008434,4.0,0.11,867.970004959
33,780,2,1229.87003708,614.93501854,5.0,0.09,846.049999204
