Delivery Status,Late_delivery_risk,Days for shipping (real),Days for shipment (scheduled),Shipping Mode,Order Region,Order Country,order date (DateOrders)
Advance shipping,0,3,4,Standard Class,Southeast Asia,Indonesia,1/31/2018 22:56
Late delivery,1,5,4,Standard Class,South Asia,India,1/13/2018 12:27
Shipping on time,0,4,4,Standard Class,South Asia,India,1/13/2018 12:06
Advance shipping,0,3,4,Standard Class,Oceania,Australia,1/13/2018 11:45
Advance shipping,0,2,4,Standard Class,Oceania,Australia,1/13/2018 11:24
Shipping canceled,0,6,4,Standard Class,Oceania,Australia,1/13/2018 11:03
Late delivery,1,2,1,First Class,Eastern Asia,China,1/13/2018 10:42
Late delivery,1,2,1,First Class,Eastern Asia,China,1/13/2018 10:21
Late delivery,1,3,2,Second Class,Eastern Asia,China,1/13/2018 10:00
Late delivery,1,2,1,First Class,Eastern Asia,China,1/13/2018 9:39
Shipping canceled,0,6,2,Second Class,Eastern Asia,Japón,1/13/2018 9:18
Late delivery,1,5,2,Second Class,Southeast Asia,Indonesia,1/13/2018 8:57
Late delivery,1,4,2,Second Class,Southeast Asia,Indonesia,1/13/2018 8:36
Late delivery,1,2,1,First Class,South Asia,India,1/13/2018 8:15
Late delivery,1,2,1,First Class,South Asia,India,1/13/2018 7:54
Late delivery,1,2,1,First Class,South Asia,India,1/13/2018 7:33
Late delivery,1,5,2,Second Class,Eastern Asia,Corea del Sur,1/13/2018 7:12
Late delivery,1,2,1,First Class,South Asia,India,1/13/2018 6:51
Late delivery,1,2,1,First Class,South Asia,India,1/13/2018 6:30
Shipping on time,0,0,0,Same Day,South Asia,India,1/13/2018 6:09
Shipping on time,0,0,0,Same Day,South Asia,India,1/13/2018 5:48
Late delivery,1,5,4,Standard Class,South Asia,India,1/13/2018 5:27
Late delivery,1,4,2,Second Class,Oceania,Australia,1/13/2018 5:06
Shipping canceled,0,3,2,Second Class,Oceania,Australia,1/13/2018 4:45
Shipping canceled,0,2,2,Second Class,Oceania,Australia,1/13/2018 4:24
Late delivery,1,6,2,Second Class,Oceania,Australia,1/13/2018 4:03
Late delivery,1,5,2,Second Class,Oceania,Australia,1/13/2018 3:42
Shipping on time,0,4,4,Standard Class,Eastern Asia,China,1/13/2018 3:21
Advance shipping,0,3,4,Standard Class,Eastern Asia,China,1/13/2018 3:00
Advance shipping,0,2,4,Standard Class,Eastern Asia,China,1/13/2018 2:39
Late delivery,1,6,4,Standard Class,Eastern Asia,China,1/13/2018 2:18
Late delivery,1,5,4,Standard Class,South Asia,India,1/13/2018 1:57
Shipping on time,0,4,4,Standard Class,South Asia,India,1/13/2018 1:36
Late delivery,1,2,1,First Class,Eastern Asia,China,1/13/2018 1:15
Late delivery,1,2,1,First Class,Eastern Asia,China,1/13/2018 0:54
Late delivery,1,2,1,First Class,Southeast Asia,Singapur,1/13/2018 0:33
Late delivery,1,2,1,First Class,South Asia,India,1/13/2018 0:12
Late delivery,1,2,1,First Class,Oceania,Australia,1/12/2018 23:51
Late delivery,1,1,0,Same Day,Oceania,Australia,1/12/2018 23:30
Shipping canceled,0,1,0,Same Day,Oceania,Australia,1/12/2018 23:09
Late delivery,1,1,0,Same Day,Southeast Asia,Singapur,1/12/2018 22:48
